group,runs_total,runs_with_overall,best_avg_overall,best_run_id,best_run_name,worst_avg_overall,worst_run_id,worst_run_name
baseline,3,3,73,2026-03-05T05-42-39Z_topiccards_blended_gen_gpt_4_1_mini_baseline_similarity_k3,topiccards_blended_gen_gpt_4_1_mini_baseline_similarity_k3,62,2026-03-05T06-21-28Z_topiccards_blended_gen_gpt_4_1_mini_baseline_similarity_k3,topiccards_blended_gen_gpt_4_1_mini_baseline_similarity_k3
mmr,3,3,84,2026-03-06T23-27-05Z_topiccards_blended_gen_gpt_4_1_mini_t2_mmr_k12_fetch40_l07_fixed,topiccards_blended_gen_gpt_4_1_mini_t2_mmr_k12_fetch40_l07_fixed,68,2026-03-05T06-22-22Z_topiccards_blended_gen_gpt_4_1_mini_t2_mmr_k12_fetch40_l07_fixed,topiccards_blended_gen_gpt_4_1_mini_t2_mmr_k12_fetch40_l07_fixed
qe+fusion,2,2,76,2026-03-06T23-27-38Z_topiccards_blended_gen_gpt_4_1_mini_qe_rrf_similarity_k12,topiccards_blended_gen_gpt_4_1_mini_qe_rrf_similarity_k12,64,2026-03-05T05-45-11Z_topiccards_blended_gen_gpt_4_1_mini_qe_rrf_similarity_k12,topiccards_blended_gen_gpt_4_1_mini_qe_rrf_similarity_k12
qe+fusion+mmr,3,3,77,2026-03-06T23-28-20Z_topiccards_blended_gen_gpt_4_1_mini_qe_rrf_mmr_k12,topiccards_blended_gen_gpt_4_1_mini_qe_rrf_mmr_k12,67,2026-03-05T05-46-48Z_topiccards_blended_gen_gpt_4_1_mini_meta_qe_rrf_mmr_k12,topiccards_blended_gen_gpt_4_1_mini_meta_qe_rrf_mmr_k12
routing_blended,3,3,76,2026-03-06T23-26-34Z_topiccards_blended_gen_gpt_4_1_mini_t1_similarity_k12,topiccards_blended_gen_gpt_4_1_mini_t1_similarity_k12,69,2026-03-05T05-42-59Z_topiccards_blended_gen_gpt_4_1_mini_t1_similarity_k12,topiccards_blended_gen_gpt_4_1_mini_t1_similarity_k12
